time_s,ch1_v,ch2_v
4.8928e-05,-0.22943,-0.23158
4.910399999999998e-05,0.22943,0.46316
4.927999999999999e-05,-0.22943,-0.23158
4.9455999999999995e-05,0.22943,0.46316
4.9632e-05,0.22943,-0.23158
4.980799999999998e-05,-0.45886,0.46316
4.998399999999999e-05,-0.22943,-0.23158
5.0159999999999994e-05,0.22943,0.46316
5.0336e-05,0.22943,0.46316
5.051199999999998e-05,-0.45886,-0.23158
5.0687999999999986e-05,0.22943,-0.23158
5.086399999999999e-05,-0.45886,0.46316
5.104e-05,-0.45886,-0.23158
5.1216000000000006e-05,0.22943,0.46316
5.1391999999999985e-05,-0.22943,0.46316
5.156799999999999e-05,0.22943,-0.23158
5.1744e-05,0.22943,-0.23158
5.1920000000000004e-05,-0.45886,0.46316
5.2095999999999984e-05,0.22943,-0.23158
5.227199999999999e-05,-0.45886,0.46316
5.2447999999999997e-05,0.22943,-0.23158
5.2624e-05,-0.45886,0.46316
5.279999999999998e-05,0.22943,-0.23158
5.297599999999999e-05,-0.45886,0.46316
5.3151999999999995e-05,0.22943,-0.23158
5.3328e-05,-0.45886,0.46316
5.350399999999998e-05,0.22943,0.46316
5.367999999999999e-05,-0.45886,-0.23158
5.3855999999999994e-05,0.22943,-0.23158
5.4032e-05,-0.45886,0.46316
5.420799999999998e-05,-0.45886,0.23158
5.4383999999999986e-05,0.22943,-0.23158
5.455999999999999e-05,0.22943,-0.23158
5.4736e-05,-0.45886,0.46316
5.4912000000000006e-05,0.22943,-0.23158
5.5087999999999985e-05,-0.45886,0.46316
5.526399999999999e-05,0.22943,-0.23158
5.544e-05,-0.45886,0.46316
5.5616000000000004e-05,0.22943,-0.23158
5.5791999999999984e-05,-0.45886,0.46316
5.596799999999999e-05,0.22943,0.23158
5.6143999999999996e-05,-0.45886,-0.23158
5.632e-05,-0.45886,-0.23158
5.649599999999998e-05,0.22943,0.46316
5.667199999999999e-05,0.22943,-0.23158
5.6847999999999995e-05,-0.45886,0.46316
5.7024e-05,0.22943,-0.23158
5.719999999999998e-05,-0.45886,0.46316
5.737599999999999e-05,-0.45886,-0.23158
5.7551999999999994e-05,0.22943,0.46316
5.7728e-05,-0.45886,0.46316
5.790399999999998e-05,0.22943,-0.46316
5.8079999999999986e-05,-0.45886,-0.23158
5.825599999999999e-05,0.22943,0.46316
5.8432e-05,-0.45886,-0.23158
5.8608000000000005e-05,0.22943,0.46316
5.8783999999999985e-05,-0.45886,-0.23158
5.895999999999999e-05,0.22943,0.46316
5.9136e-05,-0.22943,-0.23158
